[2018-09-22T23:26:00.147] [INFO] default - [undefined GET /toycar/static/js/manifest.37a2ecbb1d1b7e6c9ada.js 304 3ms][http://www.manykit.com/toycar/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:00.154] [INFO] default - [undefined GET /toycar/static/css/app.174f143f799bfc86858f63d2ed5e7017.css 304 19ms][http://www.manykit.com/toycar/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:00.197] [INFO] default - [undefined GET /toycar/static/js/vendor.924cfa02963f0288d9d3.js 304 1ms][http://www.manykit.com/toycar/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:00.208] [INFO] default - [undefined GET /toycar/static/js/app.3b42753d455eb4ec7c5b.js 304 1ms][http://www.manykit.com/toycar/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:00.509] [INFO] default - [::ffff:127.0.0.1 POST /api/toycar/projectlist 500 6ms][http://www.manykit.com/toycar/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:00.533] [INFO] default - [undefined GET /codeplay/static/resource/class/1007%E5%A4%B1%E8%B4%A5.mp3 304 40ms][http://www.manykit.com/toycar/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:04.400] [INFO] default - [::1 POST /res/filelist 200 103ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:17.080] [INFO] default - [undefined GET /codeplay/ 304 3ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:17.186] [INFO] default - [undefined GET /codeplay/static/css/app.e491d2a4892efc55865c8fdb9a22f8b0.css 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:17.187] [INFO] default - [undefined GET /codeplay/static/js/vendor.3fa4caac75ed9dd268ec.js 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-22T23:26:17.188] [INFO] default - [undefined GET /codeplay/static/js/manifest.2e917410d0055f4e5ee6.js 304 3ms][http://www.manykit.com/codeplay/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
