[2018-09-29T10:08:33.662] [INFO] default - [undefined GET /model/static/js/0.91a6a76ee494e8345e48.js 200 5ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:33.692] [INFO] default - [undefined GET /model/static/js/4.e71347e42ad1e7428153.js 200 34ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:33.855] [INFO] default - [undefined GET /res/verify 304 2ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:08:33.983] [INFO] default - [::1 POST /api/material/modulelist 500 131ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:09:06.925] [INFO] default - [undefined GET /model/static/js/5.850b04d1c3918ec8cf55.js 200 26ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:09:07.065] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 3ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:09:09.700] [INFO] default - [::1 POST /api/material/modulelist 500 3ms][http://www.manykit.com/model/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:13:05.119] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 97ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)]
[2018-09-29T10:14:06.326] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64; rv:62.0) Gecko/20100101 Firefox/62.0]
[2018-09-29T10:14:06.328] [INFO] default - [::1 POST /api/material/modulelist 500 5ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64; rv:62.0) Gecko/20100101 Firefox/62.0]
[2018-09-29T10:14:16.449] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:14:16.450] [INFO] default - [::1 POST /api/material/modulelist 500 5ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:22:06.390] [INFO] default - [::1 POST /res/filelist 200 101ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36]
[2018-09-29T10:22:52.271] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 5ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:22:53.309] [INFO] default - [::1 POST /api/material/modulelist 500 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:24:39.067] [INFO] default - [undefined GET /res/verify 304 1ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:24:39.071] [INFO] default - [::1 POST /api/material/modulelist 500 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:34:25.140] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:34:36.603] [INFO] default - [::1 POST /api/material/modulelist 500 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:35:26.160] [INFO] default - [undefined GET /res/verify 304 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:35:26.162] [INFO] default - [::1 POST /api/material/modulelist 500 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:35:28.025] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:35:31.808] [INFO] default - [::1 GET /res/verify 304 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:35:31.812] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:44:55.465] [INFO] default - [::1 POST /res/login 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:45:00.629] [INFO] default - [::ffff:127.0.0.1 POST /res/login 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:45:24.671] [INFO] default - [::1 POST /res/login 200 4ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:45:33.015] [INFO] default - [::ffff:127.0.0.1 GET /res/logout 200 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:45:34.155] [INFO] default - [undefined GET /res/verify 304 2ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:45:34.166] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:47:01.069] [INFO] default - [::1 POST /res/signup 200 159ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:02.918] [INFO] default - [::ffff:127.0.0.1 POST /res/login 200 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:05.443] [INFO] default - [::ffff:127.0.0.1 GET /res/verify 200 5ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:05.443] [INFO] default - [::1 POST /api/material/modulelist 500 6ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:08.287] [INFO] default - [undefined GET /res/verify 304 4ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:08.288] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 5ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:14.554] [INFO] default - [::1 POST /res/filelist 200 98ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:16.872] [INFO] default - [::ffff:127.0.0.1 POST /res/filelist 200 82ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:48:19.912] [INFO] default - [::1 POST /res/filelist 200 87ms][http://www.manykit.com/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:50:49.370] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 4ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:50:58.588] [INFO] default - [::1 POST /api/material/modulelist 500 4ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:50:59.626] [INFO] default - [::ffff:127.0.0.1 POST /api/material/modulelist 500 5ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-09-29T10:50:59.995] [INFO] default - [::1 POST /api/material/modulelist 500 3ms][http://localhost:8080/ HTTP/1.0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
